pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"SF","Thabo Sefolosha","2015-11-16","ATL","UTA","3900","17.44","22.9","10.8","14.28","20.6","17.44"
"C","Tiago Splitter","2015-11-16","ATL","UTA","3700","13.67","19.9","6.6","9.7","17.64","13.67"
"C","Tibor Pleiss","2015-11-16","UTA","ATL","3500","3.1","3.2","3","3","3.2","3.1"
"PG","Tim Frazier","2015-11-16","POR","CHA","3500","2.45","3.5","1.4","1.4","3.5","2.45"
"PG","Toney Douglas","2015-11-16","NOP","NYK","3500","17.13","25.6","2","9.28","24.98","17.13"
"SG","Tony Allen","2015-11-16","MEM","MIN","4300","16.23","24.4","6.9","10.16","22.3","16.23"
"PF","Trevor Booker","2015-11-16","UTA","ATL","3800","13.21","31.3","5.6","4.53","21.9","13.215"
"PG","Trey Burke","2015-11-16","UTA","ATL","5200","19.5","29.1","1.7","12.01","26.99","19.5"
"PF","Trey Lyles","2015-11-16","UTA","ATL","3500","5.56","12.1","1.4","1.95","9.18","5.565"
"SG","Troy Daniels","2015-11-16","CHA","POR","3500","2.78","4","1.5","1.85","3.7","2.775"
"PF","Tyler Hansbrough","2015-11-16","CHA","POR","3500","8.6","8.6","8.6","8.6","8.6","8.6"
"C","Tyler Zeller","2015-11-16","BOS","OKC","3800","6.9","11.5","1.7","3.37","10.43","6.9"
"PG","Tyus Jones","2015-11-16","MIN","MEM","3500","5.7","5.7","5.7","5.7","5.7","5.7"
"SF","Vince Carter","2015-11-16","MEM","MIN","3500","5.2","5.2","5.2","5.2","5.2","5.2"
"C","Walter Tavares","2015-11-16","ATL","UTA","3500","2.2","2.2","2.2","2.2","2.2","2.2"
"C","Willie Cauley-Stein","2015-11-16","SAC","TOR","4500","17.12","35.3","4.4","7.75","26.49","17.12"
"SG","Zach LaVine","2015-11-16","MIN","MEM","5800","21.37","39.2","6.9","11.34","31.39","21.365"
"PF","Zach Randolph","2015-11-16","MEM","MIN","7000","27.12","48.8","7.6","17.27","36.97","27.12"
